Vote,Yearly_IncomeK,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,Most_Important_Issue,Overall_happiness_score,Avg_size_per_room,Weighted_education_rank
10,-1.0002482280202878,0.47312597321820127,1.704280596064447,1.7194703307451513,-1.0857495707951743,-0.39789139831335024,-0.18090869633727866,-2.3716748733830033,-1.6642400642475763
1,-1.2388947993251227,-0.6561146870687262,2.19989040232042,0.021665842999956286,-0.9294743664254758,-0.39789139831335024,-1.8713511266428111,-1.9330445053800605,-1.826252619761081
2,0.8818509918922115,-0.2797011336397504,-0.2492565483955282,-1.2587643441996255,0.24635605394107868,0.42363939279976065,0.9829662429404108,0.5710169035286122,-0.4321615671465767
11,0.8066472404306039,-1.032528240497702,-0.1322147386473121,-1.2129641390282377,0.10528766934149893,1.655935579469427,0.34517073567516987,-0.4798212030965671,-0.41602932717886476
1,-0.5415053441044816,0.09671241978922543,1.3495686086742682,1.440089079199686,-0.7703391752231378,1.655935579469427,-1.874040167077401,0.22904295806564934,-1.3262422119393402
8,-1.4700209954837966,-1.032528240497702,-0.5664729682205379,0.7842301411454125,-0.008298824795388205,1.2451701839128715,0.7343535595946813,0.3526666855694495,1.4627704530315164
9,-0.621722678996863,0.8495395266471771,-0.6832073410210437,-0.34306557547301236,0.6182967184083036,-1.2194221894264612,0.9630739695860954,0.14989412753207912,0.4511343978024101
9,-0.44424182554746905,0.09671241978922543,-0.7887100452444192,-0.45115405967748756,-0.8953312755741192,0.42363939279976065,0.26305502130797453,0.15710319372851386,0.10130167423558346
9,-1.5056174378422909,0.8495395266471771,-0.9800116620080144,0.1952395026413657,-1.1072467339443433,-0.8086567938699056,0.5700021867602899,0.28928343511372134,0.37436171286588626
7,-1.4514707367899335,1.6023666335051288,1.8477715854754195,1.9942715617734783,0.4724724161166548,-1.2194221894264612,-1.9348066265656194,-1.8728065392925404,-1.0809197110183038
3,0.86681024159989,-2.1617689007846295,-1.0253342479027705,-0.6389349008801775,1.2112643677781343,0.834404788356316,0.1213880264694039,0.6728868185066169,0.3114597058696071
1,1.4012582353203813,0.47312597321820127,1.9721582549043088,0.2569171122721676,-1.0256142749170507,-1.2194221894264612,-1.7379553035396482,0.050884938789727524,-1.787758482662443
